group,IDNR,sex,grade,age,a1.1,a1.2,a1.3,a1.4,a1.5,a1.6,a1.7,a1.8,a1.9,a1.10,a1.11,a1.12,a1.13,a1.14,a1.15,a1.16,a2.1,a2.2,a2.3,a2.4,a2.5,a2.6,a2.7,a2.8,a2.9,a2.10,a2.11,a2.12,a2.13,a2.14,a2.15,a2.16,a2.17,a2.18,a2.19,a2.20,a3.1,a3.2,a3.3,a3.4,a3.5,a3.6,a3.7,a3.8,a3.9,a3.10,a3.11,a3.12,a3.13,a3.14,a3.15,a3.16,a3.17,a3.18,a3.19,a3.20,a3.21,a3.22,a3.23,a3.24,a4.1,a4.2,a4.3,a4.4,a4.5,a4.6,a4.7,a4.8,a4.9,a4.10,a4.11,a4.12,a4.13,a4.14,a4.15,a4.16,a4.17,a4.18,a4.19,a4.20,a4.21,a4.22,a4.23,a4.24,a4.25,a4.26,a4.27,a4.28,a4.29,a4.30,a4.31,a4.32,a4.33,a4.34,a4.35,a4.36,a4.37,a4.38,a4.39,a4.40,a5.R,a5.W,a5.M,b1.1,b1.2,b1.3,b1.4,b1.5,b1.6,b1.7,b1.8,b1.9,b1.10,b1.11,b1.12,b1.13,b1.14,b1.15,b1.16,b1.17,b1.18,b1.19,b1.20,b1.21,b1.22,b2.1,b2.2,b2.3,b2.4,b2.5,b2.6,b2.7,b2.8,b2.9,b2.10,b2.11,b2.12,b2.13,b2.14,b2.15,b2.16,b2.17,b2.18,b2.19,b2.20,b2.21,b2.22,b2.23,b2.24,b2.25,b2.26,b2.27,b2.28,b2.29,b2.30,b2.31,b2.32,b2.33,b2.34,b2.35,b2.36,b2.37,b2.38,b2.39,b2.40,b3.1,b3.2,b3.3,b3.4,b3.5,b3.6,b3.7,b3.8,b3.9,b3.10,b3.11,b3.12,b3.13,b3.14,b3.15,b3.16,b3.17,b3.18,b3.19,b3.20,b3.21,b3.22,b3.23,b3.24,b3.25,b3.26,b3.27,b3.28,b3.29,b3.30,b3.31,b3.32,b3.33,b3.34,b3.35,b3.36,b3.37,b3.38,b3.39,b3.40,b4.1,b4.2,b4.3,b4.4,b4.5,b4.6,b4.7,b4.8,b4.9,b4.10,b4.11,b4.12,b4.13,b4.14,b4.15,b4.16,b4.17,b4.18,b4.19,b4.20,b4.21,b4.22,b4.23,b4.24,b4.25,b4.26,b4.27,b4.28,b4.29,b4.30,b4.31,b4.32,b5.1,b5.2,b5.3,b5.4,b5.5,b5.6,b5.7,b5.8,b5.9,b5.10,b5.11,b5.12,b5.13,b5.14,b5.15,b5.16,b5.17,b5.18,b5.19,b5.20,b5.21,b5.22,b5.23,b5.24,b5.25,b5.26,b5.27,b5.28,b5.29,b5.30,b5.31,b5.32,b5.33,b5.34,b5.35,b5.36,b5.37,b5.38,b5.39,b5.40,b5.41,b5.42,b5.43,b5.44,b5.45,b5.46,b5.47,b5.48,b5.49
1,173,2,6,14,1,1,1,1,-9,1,1,1,1,0,-9,0,0,0,-9,-9,1,1,1,1,1,1,1,1,1,1,1,-9,1,1,-9,1,1,1,-9,1,2,2,0,2,0,1,2,2,0,1,2,0,1,1,2,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,74,1,45,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,-9,-9,-9,-9,-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,-9,0,1,1,1,1,1,1,1,0,-9,-9,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,-9,1,0,0,1,1,1,1,0,1,-9,-9,-9,-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1,221,2,6,14,1,1,1,1,1,1,1,1,1,1,0,-9,-9,-9,-9,-9,1,1,1,1,1,1,-9,1,1,1,1,1,1,-9,-9,0,1,1,-9,-9,2,2,2,2,1,2,2,2,2,2,0,2,2,2,2,2,2,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,74,1,45,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,-9,-9,-9,-9,-9,-9,-9,1,1,1,1,1,1,1,1,1,1,1,1,1,-9,1,-9,-9,0,1,1,1,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,-9,1,1,1,1,1,1,-9,1,1,0,1,1,1,-9,-9,-9,-9,-9,-9,-9,-9,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,-9,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1,597,2,5,15,1,1,1,1,1,1,1,1,1,0,0,0,-9,0,-9,-9,1,1,1,0,1,1,1,1,1,1,1,-9,0,-9,0,1,1,1,1,1,2,2,2,2,1,0,2,2,1,1,0,1,1,1,1,2,2,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,71,4,45,1,1,1,1,1,1,1,1,1,1,0,1,0,0,-9,-9,-9,-9,-9,-9,-9,-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,-9,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,-9,1,1,1,1,1,0,1,1,1,-9,-9,-9,-9,-9,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,-9,-9,-9,-9,-9,-9,-9,-9,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1,723,1,4,12,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9,-9,-9,-9,1,1,1,1,1,1,1,1,1,1,1,1,1,-9,-9,-9,0,-9,-9,-9,2,2,2,2,2,2,2,2,2,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,74,0,46,1,1,1,1,1,1,1,1,0,1,1,0,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,-9,1,-9,1,1,-9,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-9,-9,1,1,-9,1,-9,1,1,-9,-9,-9,-9,-9,-9,-9,1,1,1,1,1,1,1,1,0,1,0,1,-9,1,1,1,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1,63,2,6,13,1,-9,1,1,-9,1,1,-9,1,-9,-9,-9,-9,-9,-9,-9,1,1,1,1,1,1,1,1,1,1,-9,1,1,0,1,-9,-9,-9,-9,-9,2,2,2,2,1,2,2,2,2,2,2,0,2,1,1,2,2,1,1,1,-9,-9,-9,-9,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,74,0,46,1,1,1,1,1,1,1,1,0,1,1,-9,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-9,1,1,1,1,1,1,1,-9,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,0,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,-9,0,1,1,0,1,0,0,-9,-9,-9,-9,-9,-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1,116,1,6,13,1,1,1,1,1,1,1,0,1,1,1,-9,1,0,0,-9,1,1,1,1,1,1,1,1,1,-9,-9,1,1,-9,-9,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-9,0,1,1,1,-9,-9,-9,-9,-9,-9,74,0,46,1,1,1,1,1,1,1,1,1,-9,1,1,1,1,1,1,1,-9,-9,1,-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-9,1,1,1,1,1,1,1,1,-9,1,1,1,1,1,1,1,-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,-9,-9,1,1,1,-9,-9,-9,1,1,1,-9,-9,-9,-9,-9,1,1,1,0,-9,1,1,1,1,1,-9,1,1,-9,1,1,1,0,1,1,1,1,1,1,1,-9,-9,-9,-9,-9,-9,-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9,-9,-9,-9
1,833,1,4,13,1,1,1,1,1,-9,1,1,1,0,0,0,-9,-9,-9,-9,1,1,1,1,1,0,1,0,1,1,1,-9,0,0,1,0,1,1,0,1,2,2,2,2,0,2,2,2,2,2,2,1,2,1,0,0,1,2,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,74,0,46,1,1,1,1,1,1,1,1,1,1,-9,0,1,1,-9,0,-9,-9,-9,-9,-9,-9,1,1,1,1,1,1,1,1,1,1,-9,1,0,0,1,0,-9,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,-9,1,-9,-9,-9,-9,-9,-9,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,-9,0,-9,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,-9,1,1,0,1,1,1,1,-9,0,1
1,854,1,4,13,1,0,1,1,1,1,1,1,1,-9,-9,-9,-9,-9,-9,-9,1,1,-9,1,1,1,-9,1,1,0,-9,1,-9,-9,-9,-9,-9,-9,-9,-9,2,2,2,2,1,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-9,-9,-9,-9,-9,-9,-9,74,0,46,1,1,1,1,1,1,1,1,0,1,0,-9,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,1,1,1,1,1,1,1,1,-9,1,0,0,1,0,0,1,1,1,1,-9,1,1,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1,244,1,6,14,1,0,1,1,1,1,0,1,1,1,1,-9,-9,-9,-9,-9,1,1,1,1,1,1,1,1,1,0,1,1,0,-9,-9,-9,1,-9,-9,1,2,2,2,2,2,2,2,2,2,2,0,2,2,1,1,1,1,1,1,0,0,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,-9,-9,-9,-9,-9,-9,-9,-9,74,0,46,1,1,1,1,1,1,1,1,0,1,0,1,1,-9,-9,0,-9,-9,0,-9,-9,-9,1,1,1,1,1,1,-9,0,1,1,0,1,1,0,1,0,0,1,1,0,1,-9,1,0,-9,1,1,1,0,-9,1,1,0,-9,-9,-9,-9,-9,-9,-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,-9,-9,1,1,1,-9,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,-9,0,1,0,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1,559,1,5,14,1,1,1,1,1,1,1,1,1,-9,1,0,-9,-9,-9,-9,1,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9,1,0,1,-9,1,1,2,2,2,2,2,2,2,2,2,2,0,2,1,2,1,1,2,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,74,0,46,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,-9,-9,-9,-9,-9,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,-9,1,1,1,0,0,-9,1,-9,-9,-9,-9,-9,-9,-9,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,-9,1,1,0,1,1,0,1,-9,-9,-9,-9,-9,-9,1,1,1,0,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,1,1,1,-9,-9,-9,-9,-9,1,1,1,1,1,1,1,1,0,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1,880,2,4,14,1,1,1,1,1,1,0,1,1,-9,-9,0,-9,-9,-9,-9,1,0,-9,1,1,0,1,1,1,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,2,2,2,2,1,1,2,2,2,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-9,1,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,74,0,46,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,-9,-9,-9,-9,-9,-9,-9,1,1,1,1,1,1,1,-9,1,1,-9,1,-9,-9,1,-9,-9,0,1,-9,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,-9,1,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,0,1,0,0,1,-9,0,1,1,1,0,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1,307,2,6,15,1,1,1,1,1,1,0,1,1,1,0,0,-9,0,-9,-9,1,1,1,1,1,1,-9,1,1,0,1,-9,1,1,-9,-9,1,-9,-9,-9,2,2,2,2,2,1,2,2,2,2,0,2,2,2,1,1,2,2,0,1,-9,-9,-9,-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,74,0,46,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,-9,-9,-9,-9,-9,-9,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-9,1,-9,0,1,0,1,1,1,-9,0,0,1,0,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,-9,1,1,0,0,1,-9,1,1,1,-9,-9,-9,-9,-9,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1,351,2,6,15,1,1,1,1,1,-9,1,1,1,-9,1,-9,-9,-9,-9,-9,1,1,1,1,1,1,0,1,1,0,-9,-9,0,-9,-9,1,0,-9,-9,-9,2,2,2,2,1,2,2,2,2,2,0,2,2,1,1,0,2,1,2,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9,-9,-9,74,0,46,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,-9,0,-9,-9,-9,1,0,1,1,1,1,1,0,1,1,1,1,0,1,-9,1,-9,-9,1,0,1,1,-9,1,1,1,1,1,1,1,1,-9,-9,1,-9,-9,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,-9,1,1,1,1,1,-9,0,1,-9,-9,1,1,1,1,1,-9,-9,-9,-9,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1,358,1,6,15,1,1,1,1,1,0,1,1,1,-9,-9,-9,-9,-9,-9,-9,1,1,1,1,1,1,-9,0,1,0,-9,0,0,0,-9,0,1,-9,-9,-9,2,2,2,2,2,2,2,2,2,2,0,2,2,1,2,2,2,-9,-9,-9,-9,-9,-9,-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,74,0,46,1,1,1,1,1,1,0,1,0,-9,-9,-9,0,-9,1,-9,-9,-9,-9,-9,-9,1,1,1,1,1,1,0,1,0,1,1,1,1,1,-9,1,1,1,-9,1,-9,1,-9,1,-9,1,1,1,0,0,1,-9,1,-9,1,0,-9,0,-9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,-9,1,1,1,1,1,-9,1,-9,-9,-9,1,-9,-9,-9,1,1,1,1,1,1,0,0,1,1,1,0,-9,1,1,1,1,1,0,1,1,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1,623,2,5,15,1,-9,1,1,-9,1,1,1,1,-9,-9,0,-9,-9,-9,-9,1,1,-9,-9,1,1,0,1,-9,0,-9,0,-9,-9,-9,-9,1,-9,-9,1,2,2,1,1,1,1,0,2,1,0,0,0,1,0,1,2,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,-9,0,0,0,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,74,0,46,1,1,1,1,1,1,1,1,1,1,1,0,1,-9,0,1,-9,-9,-9,-9,-9,-9,1,-9,1,-9,1,0,0,0,-9,1,-9,1,1,-9,-9,-9,-9,-9,1,0,1,-9,0,-9,-9,0,1,0,0,0,0,-9,-9,-9,-9,-9,1,-9,-9,-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,-9,0,0,-9,0,0,-9,1,-9,-9,1,0,0,0,1,1,0,1,0,0,-9,1,-9,0,0,0,0,-9,1,1,0,1,-9,-9,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1,360,2,6,15,1,1,1,1,1,1,1,0,1,0,1,-9,-9,-9,-9,-9,1,1,1,1,0,1,1,1,1,0,0,1,1,1,-9,1,1,0,-9,-9,2,2,2,2,2,1,2,2,2,1,1,1,2,1,2,2,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,-9,-9,-9,-9,-9,-9,71,3,46,1,1,1,1,1,1,1,1,0,1,1,0,0,-9,-9,-9,1,-9,0,-9,-9,-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,-9,-9,-9,-9,-9,-9,-9,-9,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,-9,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,-9,-9,-9,-9,-9,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1,29,1,6,12,1,1,1,1,0,0,1,0,1,-9,1,-9,-9,-9,-9,-9,1,1,1,-9,1,1,1,1,1,1,1,0,1,-9,-9,0,-9,-9,-9,-9,2,2,2,2,2,1,2,2,2,2,0,2,2,1,2,1,2,-9,-9,-9,-9,-9,-9,-9,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,73,0,47,1,1,1,1,1,0,1,1,0,1,1,1,0,1,-9,1,-9,-9,-9,-9,-9,-9,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,-9,-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-9,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1,410,1,5,12,1,1,1,1,1,1,1,1,1,-9,1,0,1,-9,-9,-9,1,1,1,1,1,1,1,0,1,1,1,1,1,-9,-9,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,73,0,47,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,-9,1,-9,-9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-9,1,-9,-9,1,1,-9,1,1,-9,1,1,1,-9,1,1,-9,-9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-9,1,1,1,1,1,1,1,-9,1,-9,1,0,1,0,1,-9,1,1,1,-9,-9,-9,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,-9,0,1,1,1,-9,-9,-9,-9,-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
